year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,quality_score
1961,DNK,AreaPerCap,0.777976024,0.035194063,0.116892244,2.159321599,0.058842837,0,3.148226768,3A
1961,DNK,AreaTotHA,3589604.546,162386.4565,539344.2974,9963174.171,271502.6045,0,14526012.08,3A
1961,DNK,BiocapPerCap,1.67616215,0.013292803,0.450564259,2.318089337,0.126777862,0,4.58488641,3A
1961,DNK,BiocapTotGHA,7733862.083,61333.38919,2078916.911,10695733.25,584956.8306,0,21154802.46,3A
1961,DNK,EFConsPerCap,1.437159343,0.050543474,0.567644484,0.527051468,0.126777862,3.086146592,5.795323222,3A
1961,DNK,EFConsTotGHA,6631096.015,233209.0965,2619128.555,2431831.169,584956.8306,14239572.3,26739793.96,3A
1961,DNK,EFProdPerCap,1.67616215,0.013292803,0.242864305,1.130504524,0.126777862,2.34885533,5.538456974,3A
1961,DNK,EFProdTotGHA,7733862.083,61333.38919,1120583.139,5216181.544,584956.8306,10837688.46,25554605.44,3A
1962,DNK,AreaPerCap,0.762756273,0.035216149,0.116004234,2.142917604,0.058842825,0,3.115737085,3A
1962,DNK,AreaTotHA,3546320.951,163732.204,539344.2974,9963174.171,273580.8958,0,14486152.52,3A
1962,DNK,BiocapPerCap,1.729702442,0.013269984,0.447344183,2.295089872,0.133437878,0,4.618844359,3A
1962,DNK,BiocapTotGHA,8041992.217,61696.80153,2079859.722,10670676.32,620399.4126,0,21474624.47,3A
1962,DNK,EFConsPerCap,1.594336103,0.057401021000000003,0.590465572,0.6064623,0.133437878,3.395468805,6.377571679,3A
1962,DNK,EFConsTotGHA,7412626.716,266877.4425,2745281.164,2819655.553,620399.4126,15786723.22,29651563.51,3A
1962,DNK,EFProdPerCap,1.729702442,0.013269984,0.254611232,1.01458173,0.133437878,2.650366554,5.79596982,3A
1962,DNK,EFProdTotGHA,8041992.217,61696.80153,1183776.756,4717145.667,620399.4126,12322482,26947492.85,3A
1963,DNK,AreaPerCap,0.749557241,0.033751902,0.115090076,2.126030589,0.058842863,0,3.083272671,3A
1963,DNK,AreaTotHA,3512634.948,158170.8573,539344.2974,9963174.171,275754.1171,0,14449078.39,3A
1963,DNK,BiocapPerCap,1.717177291,0.012675197,0.44342491,2.269298631,0.134804417,0,4.577380446,3A
