country_code,gci_value,gci_rank,year,country
ALB,58.10159560077285,76,2018,Albania
DZA,53.75071304045688,92,2018,Algeria
AGO,37.05578811218694,137,2018,Angola
ARG,57.48611008877519,81,2018,Argentina
ARM,59.86148111465999,70,2018,Armenia
AUS,78.85166974580595,14,2018,Australia
AUT,76.33810153820535,22,2018,Austria
AZE,60.04414805382071,69,2018,Azerbaijan
BHR,63.63291244666616,50,2018,Bahrain
BGD,52.07923886957091,103,2018,Bangladesh
BEL,76.61015539007471,21,2018,Belgium
BEN,44.39858876747354,123,2018,Benin
BOL,51.39667601916563,105,2018,Bolivia
BIH,54.15512388451868,91,2018,Bosnia and Herzegovina
BWA,54.53541055287048,90,2018,Botswana
BRA,59.5074453033107,72,2018,Brazil
BRN,61.4285783770839,62,2018,Brunei Darussalam
BGR,63.55997367305849,51,2018,Bulgaria
BFA,43.89803312471886,124,2018,Burkina Faso
BDI,37.52763496572845,136,2018,Burundi
KHM,50.1852772938507,110,2018,Cambodia
CMR,45.09942938304439,121,2018,Cameroon
CAN,79.92199295786679,12,2018,Canada
CPV,50.18516211015324,111,2018,Cabo Verde
TCD,35.52021394107925,140,2018,Chad
CHL,70.26440664084289,33,2018,Chile
CHN,72.60927208452368,28,2018,China
COL,61.63027775677923,60,2018,Colombia
COD,38.24125507766902,135,2018,"Congo, Dem. Rep."
CRI,62.13872602349763,55,2018,Costa Rica
CIV,47.56758460805819,114,2018,Cote d'Ivoire
HRV,60.11451491151299,68,2018,Croatia
CYP,65.57248579660843,44,2018,Cyprus
CZE,71.17671553167794,29,2018,Czech Republic
DNK,80.62462032924725,10,2018,Denmark
DOM,57.38287791183124,82,2018,Dominican Republic
ECU,55.84635886767359,86,2018,Ecuador
EGY,53.59113101792448,94,2018,"Egypt, Arab Rep."
SLV,52.81964556838003,98,2018,El Salvador
EST,70.75275760242242,32,2018,Estonia
SWZ,45.34611222217629,120,2018,Swaziland
ETH,44.45183107974748,122,2018,Ethiopia
FIN,80.26160620004491,11,2018,Finland
FRA,78.0073276297717,17,2018,France
GMB,45.45061916307996,119,2018,"Gambia, The"
GEO,60.87606347472297,66,2018,Georgia
DEU,82.83885508048462,3,2018,Germany
GHA,51.33058966372455,106,2018,Ghana
GRC,62.09629874676801,57,2018,Greece
GTM,53.36270658301328,96,2018,Guatemala
GIN,43.23127279714448,126,2018,Guinea
HTI,36.4508554714887,138,2018,Haiti
HND,52.46127891787915,101,2018,Honduras
HKG,82.25146144499804,7,2018,Hong Kong
HUN,64.30588346728426,48,2018,Hungary
ISL,74.50933539957904,24,2018,Iceland
IND,62.02034109462025,58,2018,India
IDN,64.93514038690243,45,2018,Indonesia
IRN,54.85298037704116,89,2018,"Iran, Islamic Rep."
IRL,75.67779840104805,23,2018,Ireland
ISR,76.63028900062426,20,2018,Israel
ITA,70.76946152203722,31,2018,Italy
JAM,57.87941447825264,79,2018,Jamaica
JPN,82.46773042806363,5,2018,Japan
JOR,59.29371268492383,73,2018,Jordan
KAZ,61.80479518898739,59,2018,Kazakhstan
KEN,53.66756209422506,93,2018,Kenya
KOR,78.83839538847262,15,2018,"Korea, Rep."
KWT,62.14279655464797,54,2018,Kuwait
KGZ,53.02411429595581,97,2018,Kyrgyz Republic
LAO,49.26590456313054,112,2018,Lao PDR
LVA,66.24561767032195,42,2018,Latvia
LBN,57.71841300544018,80,2018,Lebanon
LSO,42.31866713655996,130,2018,Lesotho
LBR,40.54749445764337,132,2018,Liberia
LTU,67.11914960675828,40,2018,Lithuania
LUX,76.63068227747486,19,2018,Luxembourg
MKD,56.62004145877089,84,2018,"Macedonia, FYR"
MWI,42.43642380478056,129,2018,Malawi
MYS,74.3814534579872,25,2018,Malaysia
MLI,43.63021367008278,125,2018,Mali
MLT,68.7532284965104,36,2018,Malta
MRT,40.7709392972548,131,2018,Mauritania
MUS,63.74144920345743,49,2018,Mauritius
MEX,64.60294997499535,46,2018,Mexico
MDA,55.53068359756738,88,2018,Moldova
MNG,52.7426329261588,99,2018,Mongolia
MNE,59.61710520196012,71,2018,Montenegro
MAR,58.48921619464729,75,2018,Morocco
MOZ,39.75360719747464,133,2018,Mozambique
NAM,52.67358647411127,100,2018,Namibia
NPL,50.78637072835992,109,2018,Nepal
NLD,82.37973267223747,6,2018,Netherlands
NZL,77.50755240218201,18,2018,New Zealand
NIC,51.50115650945992,104,2018,Nicaragua
NGA,47.52677516551537,115,2018,Nigeria
NOR,78.15747932745576,16,2018,Norway
OMN,64.39726446650052,47,2018,Oman
PAK,51.08047056566321,107,2018,Pakistan
PAN,61.0337092250204,64,2018,Panama
PRY,53.37832956926417,95,2018,Paraguay
PER,61.25914007569629,63,2018,Peru
PHL,62.12530699814722,56,2018,Philippines
POL,68.16262086420114,37,2018,Poland
PRT,70.20196920442977,34,2018,Portugal
QAT,71.01880988454786,30,2018,Qatar
ROU,63.46435394670171,52,2018,Romania
RUS,65.6237390752518,43,2018,Russian Federation
RWA,50.93977450582555,108,2018,Rwanda
SAU,67.50169153178126,39,2018,Saudi Arabia
SEN,49.03375063340467,113,2018,Senegal
SRB,60.88244677292948,65,2018,Serbia
SYC,58.49842060103626,74,2018,Seychelles
SLE,38.80016628171635,134,2018,Sierra Leone
SGP,83.47791304680126,2,2018,Singapore
SVK,66.84123807145932,41,2018,Slovak Republic
SVN,69.62221956997182,35,2018,Slovenia
ZAF,60.76155879311916,67,2018,South Africa
ESP,74.19627253963979,26,2018,Spain
LKA,56.00353114432759,85,2018,Sri Lanka
SWE,81.65535419181329,9,2018,Sweden
CHE,82.58582352688386,4,2018,Switzerland
TWN,79.25222899782038,13,2018,NA
TJK,52.17773953633481,102,2018,Tajikistan
TZA,47.21001783467462,116,2018,Tanzania
THA,67.53037872273934,38,2018,Thailand
TTO,57.88141248179745,78,2018,Trinidad and Tobago
TUN,55.60421699170266,87,2018,Tunisia
TUR,61.59871156376618,61,2018,Turkey
UGA,46.80444749731611,117,2018,Uganda
UKR,57.03007318950032,83,2018,Ukraine
ARE,73.37190038467266,27,2018,United Arab Emirates
GBR,81.9878667696146,8,2018,United Kingdom
USA,85.6411783749984,1,2018,United States
URY,62.68742020034674,53,2018,Uruguay
VEN,43.17122638949896,127,2018,"Venezuela, RB"
VNM,58.05124559986512,77,2018,Vietnam
YEM,36.39569426022771,139,2018,"Yemen, Rep."
ZMB,46.05040744066221,118,2018,Zambia
ZWE,42.60869644201631,128,2018,Zimbabwe
AGO,2.93481279,138,2010,Angola
AGO,2.961497681,139,2011,Angola
AGO,3.147254212,142,2013,Angola
AGO,3.037738474,140,2014,Angola
ALB,3.482580215,109,2007,Albania
ALB,3.550002867,108,2008,Albania
ALB,3.724123922,96,2009,Albania
ALB,3.943731275,88,2010,Albania
ALB,4.06377645,78,2011,Albania
ALB,3.906493962,89,2012,Albania
ALB,3.84696424,95,2013,Albania
ALB,3.835856618,97,2014,Albania
ALB,3.92667661,93,2015,Albania
ALB,4.056030839,80,2016,Albania
ALB,4.18499087265881,75,2017,Albania
ARE,4.495464832,37,2007,United Arab Emirates
ARE,4.679805176,31,2008,United Arab Emirates
ARE,4.918123053,23,2009,United Arab Emirates
ARE,4.889271478,25,2010,United Arab Emirates
ARE,4.890963021,27,2011,United Arab Emirates
ARE,5.068156814,24,2012,United Arab Emirates
ARE,5.106289421,19,2013,United Arab Emirates
ARE,5.32653104,12,2014,United Arab Emirates
ARE,5.240404916,17,2015,United Arab Emirates
ARE,5.262683783,16,2016,United Arab Emirates
ARE,5.29672995251245,17,2017,United Arab Emirates
ARG,3.874690438,85,2007,Argentina
ARG,3.873598033,88,2008,Argentina
ARG,3.909176693,85,2009,Argentina
ARG,3.949235396,87,2010,Argentina
ARG,3.994582217,85,2011,Argentina
ARG,3.873581456,94,2012,Argentina
ARG,3.762859197,104,2013,Argentina
ARG,3.79441218,104,2014,Argentina
ARG,3.792527041,106,2015,Argentina
ARG,3.811176413,104,2016,Argentina
ARG,3.95094358935839,92,2017,Argentina
ARM,3.758293248,93,2007,Armenia
ARM,3.725373473,97,2008,Armenia
ARM,3.710936346,97,2009,Armenia
ARM,3.758017258,98,2010,Armenia
ARM,3.887752279,92,2011,Armenia
ARM,4.022190017,82,2012,Armenia
ARM,4.102263363,79,2013,Armenia
ARM,4.007344028,85,2014,Armenia
ARM,4.009698321,82,2015,Armenia
ARM,4.073255115,79,2016,Armenia
ARM,4.19149807249985,73,2017,Armenia
AUS,5.171178377,19,2007,Australia
AUS,5.199893685,18,2008,Australia
AUS,5.153625588,15,2009,Australia
AUS,5.111644871,16,2010,Australia
AUS,5.11024481,20,2011,Australia
AUS,5.115229558,20,2012,Australia
