country,gsci_rank,gsci_score,nat_cap_rank,nat_cap_score,res_intense_rank,res_intense_score,soc_cap_rank,soc_cap_score,intellect_cap_rank,intellect_cap_score,governance_rank,governance_score,country_code
Sweden,1,62.099853761725825,14,63.11978005422837,9,63.717265872705056,3,61.64590854392298,2,69.50483136060761,77,52.51148297716512,SWE
Denmark,2,60.99842451977051,67,51.414960772676416,6,65.64749932446824,14,57.82490974729244,4,67.03995184283637,14,63.064800911579056,DNK
Iceland,3,60.73738914280435,13,63.79819436943275,75,52.04388490987995,1,65.3692839951865,13,61.26445850490457,19,61.21112393461796,ISL
Finland,4,60.400401125544136,27,60.537315895372245,50,55.279047769194364,4,61.56964500601683,10,64.34920597968355,24,60.266790977453724,FIN
Switzerland,5,59.44008844947303,87,47.59547161227564,11,63.12850057650261,5,61.001052948255094,9,64.72559202983584,22,60.74982508049593,CHE
Estonia,6,59.38314079142684,12,63.83764829620955,96,49.84644489988962,10,59.40132370637784,24,55.80795793167806,4,68.02232912297914,EST
Latvia,7,58.17299471260007,17,62.08118820231285,15,61.5424642805838,40,51.751654632972304,42,49.42574269446029,7,66.0639237526711,LVA
Luxembourg,8,57.952696000326654,92,46.84662238680565,4,68.28225283304889,11,58.866209843180606,32,51.843478735932194,11,63.92491620266591,LUX
Norway,9,57.685644423861504,40,57.48865325285045,122,46.42318978663164,2,64.95938628158845,5,66.72236918334418,71,52.834623614892735,NOR
Croatia,10,57.18011229831265,21,61.08756616931078,30,57.70057076985502,37,52.28113718411552,37,50.91241219816306,12,63.91887517011886,HRV
New Zealand,11,57.16505132717663,24,60.93871378674062,81,51.6667192180356,22,56.14545728038507,27,54.29285289368572,15,62.78151345703608,NZL
Liechtenstein,12,57.05528674039923,69,51.18518710846895,41,56.35812508162828,25,55.299428679538764,23,56.51873983987947,8,65.91495299248066,LIE
Ireland,13,56.75915091010404,111,45.41287921020262,7,64.41353680799847,35,52.88034693641232,31,52.24340680750406,2,68.84558478840273,IRL
Austria,14,56.67429566072613,70,51.17664813486168,101,49.1035968370174,6,60.89891696750902,18,59.739120350482146,16,62.453196013760376,AUT
United Kingdom,15,56.121812584162996,163,35.40333320243073,5,67.27469854926326,43,51.569193742478944,6,66.511791784764,26,59.85004564187802,GBR
Slovenia,16,55.90680692572464,76,49.33280292316726,141,43.118851195275255,9,59.5659104075697,20,59.39239516573915,3,68.12407493687179,SVN
