country_code,category,indicator,value
ALB,se,gini_index,33.2
ALB,se,unemployment_pctg,11.6999998092651
ALB,se,happiness_score,4.719
ALB,se,happiness_rank,107
ALB,se,ggi_index,0.734
ALB,se,ggi_rank,34
DZA,se,gini_index,27.6
DZA,se,unemployment_pctg,12.8299999237061
DZA,se,happiness_score,5.211
DZA,se,happiness_rank,88
DZA,se,ggi_index,0.629
DZA,se,ggi_rank,128
AGO,se,gini_index,51.3
AGO,se,unemployment_pctg,7.69999980926514
AGO,se,ggi_index,0.633
AGO,se,ggi_rank,125
ARG,se,gini_index,41.4
ARG,se,unemployment_pctg,11.6700000762939
ARG,se,happiness_score,6.086
ARG,se,happiness_rank,47
ARG,se,ggi_index,0.733
ARG,se,ggi_rank,36
ARM,se,gini_index,34.4
ARM,se,unemployment_pctg,20.2099990844727
ARM,se,happiness_score,4.559
ARM,se,happiness_rank,116
ARM,se,ggi_index,0.678
ARM,se,ggi_rank,98
AUS,se,gini_index,34.4
AUS,se,unemployment_pctg,6.6100001335144
AUS,se,happiness_score,7.228
AUS,se,happiness_rank,11
AUS,se,ggi_index,0.73
AUS,se,ggi_rank,39
AUT,se,gini_index,29.7
AUT,se,unemployment_pctg,5.76999998092651
AUT,se,happiness_score,7.246
AUT,se,happiness_rank,10
AUT,se,ggi_index,0.718
AUT,se,ggi_rank,53
AZE,se,unemployment_pctg,6.26999998092651
AZE,se,happiness_score,5.208
AZE,se,happiness_rank,90
AZE,se,ggi_index,0.68
AZE,se,ggi_rank,97
BHR,se,unemployment_pctg,4.09000015258789
BHR,se,happiness_score,6.199
BHR,se,happiness_rank,37
BHR,se,ggi_index,0.627
BHR,se,ggi_rank,132
BGD,se,gini_index,32.4
BGD,se,unemployment_pctg,5.30000019073486
BGD,se,happiness_score,4.456
BGD,se,happiness_rank,125
BGD,se,ggi_index,0.721
BGD,se,ggi_rank,48
BRB,se,unemployment_pctg,12.789999961853
BRB,se,ggi_index,0.753
BRB,se,ggi_rank,21
BLR,se,gini_index,25.2
BLR,se,unemployment_pctg,5.28000020980835
BLR,se,happiness_score,5.323
BLR,se,happiness_rank,81
BLR,se,ggi_index,0.747
BLR,se,ggi_rank,28
BEL,se,gini_index,27.4
BEL,se,unemployment_pctg,6.01000022888184
BEL,se,happiness_score,6.923
BEL,se,happiness_rank,18
BEL,se,ggi_index,0.738
BEL,se,ggi_rank,32
BLZ,se,unemployment_pctg,7.82000017166138
BLZ,se,ggi_index,0.662
BLZ,se,ggi_rank,111
BEN,se,gini_index,47.8
BEN,se,unemployment_pctg,2.53999996185303
BEN,se,happiness_score,4.883
BEN,se,happiness_rank,102
BEN,se,ggi_index,0.654
BEN,se,ggi_rank,118
BTN,se,gini_index,37.4
BTN,se,unemployment_pctg,3.74000000953674
BTN,se,happiness_score,5.082
BTN,se,happiness_rank,95
BTN,se,ggi_index,0.638
BTN,se,ggi_rank,122
BOL,se,gini_index,42.2
BOL,se,unemployment_pctg,5.6100001335144
BOL,se,happiness_score,5.779
BOL,se,happiness_rank,61
BOL,se,ggi_index,0.748
BOL,se,ggi_rank,25
BIH,se,gini_index,33
BIH,se,unemployment_pctg,16.8500003814697
BIH,se,happiness_score,5.386
BIH,se,happiness_rank,78
BIH,se,ggi_index,0.712
BIH,se,ggi_rank,62
BWA,se,gini_index,53.3
BWA,se,unemployment_pctg,17.7000007629395
BWA,se,happiness_score,3.488
BWA,se,happiness_rank,148
BWA,se,ggi_index,0.715
BWA,se,ggi_rank,55
BRA,se,gini_index,53.9
BRA,se,unemployment_pctg,13.6700000762939
BRA,se,happiness_score,6.3
BRA,se,happiness_rank,32
BRA,se,ggi_index,0.681
BRA,se,ggi_rank,95
BRN,se,unemployment_pctg,8.36999988555908
BRN,se,ggi_index,0.686
BRN,se,ggi_rank,90
BGR,se,gini_index,40.4
BGR,se,unemployment_pctg,5.71000003814697
BGR,se,happiness_score,5.011
BGR,se,happiness_rank,97
BGR,se,ggi_index,0.756
BGR,se,ggi_rank,18
BFA,se,gini_index,35.3
BFA,se,unemployment_pctg,4.96000003814697
BFA,se,happiness_score,4.587
BFA,se,happiness_rank,115
BFA,se,ggi_index,0.629
BFA,se,ggi_rank,129
BDI,se,gini_index,38.6
BDI,se,unemployment_pctg,0.800000011920929
BDI,se,happiness_score,3.775
BDI,se,happiness_rank,145
BDI,se,ggi_index,0.741
BDI,se,ggi_rank,31
CPV,se,gini_index,42.4
CPV,se,unemployment_pctg,13.4099998474121
CPV,se,ggi_index,0.702
CPV,se,ggi_rank,72
KHM,se,unemployment_pctg,0.310000002384186
KHM,se,happiness_score,4.7
KHM,se,happiness_rank,109
KHM,se,ggi_index,0.683
KHM,se,ggi_rank,93
CMR,se,gini_index,46.6
CMR,se,unemployment_pctg,3.61999988555908
CMR,se,happiness_score,5.044
CMR,se,happiness_rank,96
CMR,se,ggi_index,0.714
CMR,se,ggi_rank,57
CAN,se,gini_index,33.3
CAN,se,unemployment_pctg,9.47999954223633
CAN,se,happiness_score,7.278
CAN,se,happiness_rank,9
CAN,se,ggi_index,0.771
CAN,se,ggi_rank,16
TCD,se,gini_index,43.3
TCD,se,unemployment_pctg,2.25999999046326
TCD,se,happiness_score,4.35
TCD,se,happiness_rank,132
TCD,se,ggi_index,0.58
TCD,se,ggi_rank,145
CHL,se,gini_index,44.4
CHL,se,unemployment_pctg,11.5100002288818
CHL,se,happiness_score,6.444
CHL,se,happiness_rank,26
CHL,se,ggi_index,0.717
CHL,se,ggi_rank,54
CHN,se,gini_index,38.5
CHN,se,unemployment_pctg,5
CHN,se,happiness_score,5.191
CHN,se,happiness_rank,93
CHN,se,ggi_index,0.673
CHN,se,ggi_rank,103
COL,se,gini_index,50.4
COL,se,unemployment_pctg,15.4399995803833
COL,se,happiness_score,6.125
COL,se,happiness_rank,43
COL,se,ggi_index,0.729
COL,se,ggi_rank,40
COD,se,gini_index,42.1
COD,se,unemployment_pctg,4.55000019073486
COD,se,happiness_score,4.418
COD,se,happiness_rank,127
COD,se,ggi_index,0.582
COD,se,ggi_rank,144
COG,se,gini_index,48.9
COG,se,unemployment_pctg,10.2700004577637
COG,se,happiness_score,4.812
COG,se,happiness_rank,103
CRI,se,gini_index,48
CRI,se,unemployment_pctg,17.0799999237061
CRI,se,happiness_score,7.167
CRI,se,happiness_rank,12
CRI,se,ggi_index,0.749
CRI,se,ggi_rank,22
CIV,se,gini_index,41.5
CIV,se,unemployment_pctg,3.5
CIV,se,happiness_score,4.944
CIV,se,happiness_rank,99
CIV,se,ggi_index,0.627
CIV,se,ggi_rank,131
HRV,se,gini_index,30.4
HRV,se,unemployment_pctg,7.19999980926514
HRV,se,happiness_score,5.432
HRV,se,happiness_rank,75
HRV,se,ggi_index,0.712
HRV,se,ggi_rank,59
CUB,se,unemployment_pctg,3.86999988555908
CUB,se,ggi_index,0.749
CUB,se,ggi_rank,23
CYP,se,gini_index,31.4
CYP,se,unemployment_pctg,7.21000003814697
CYP,se,happiness_score,6.046
CYP,se,happiness_rank,49
CYP,se,ggi_index,0.684
CYP,se,ggi_rank,92
CYP,se,gini_index,31.4
CYP,se,unemployment_pctg,7.21000003814697
CYP,se,happiness_score,5.718
CYP,se,happiness_rank,64
CYP,se,ggi_index,0.684
CYP,se,ggi_rank,92
CZE,se,gini_index,24.9
CZE,se,unemployment_pctg,2.94000005722046
CZE,se,happiness_score,6.852
CZE,se,happiness_rank,20
CZE,se,ggi_index,0.693
CZE,se,ggi_rank,82
DNK,se,gini_index,28.7
DNK,se,unemployment_pctg,5.65999984741211
DNK,se,happiness_score,7.6
DNK,se,happiness_rank,2
DNK,se,ggi_index,0.778
DNK,se,ggi_rank,13
DOM,se,gini_index,43.7
DOM,se,unemployment_pctg,8.89999961853027
DOM,se,happiness_score,5.425
DOM,se,happiness_rank,77
DOM,se,ggi_index,0.701
DOM,se,ggi_rank,74
ECU,se,gini_index,45.4
ECU,se,unemployment_pctg,6.23000001907349
ECU,se,happiness_score,6.028
ECU,se,happiness_rank,50
ECU,se,ggi_index,0.729
ECU,se,ggi_rank,41
EGY,se,gini_index,31.5
EGY,se,unemployment_pctg,10.4499998092651
EGY,se,happiness_score,4.166
EGY,se,happiness_rank,137
EGY,se,ggi_index,0.614
EGY,se,ggi_rank,135
SLV,se,gini_index,38.6
SLV,se,unemployment_pctg,6.98000001907349
SLV,se,happiness_score,6.253
SLV,se,happiness_rank,35
SLV,se,ggi_index,0.69
SLV,se,ggi_rank,87
ERI,se,unemployment_pctg,7.44000005722046
EST,se,gini_index,30.4
EST,se,unemployment_pctg,6.46000003814697
EST,se,happiness_score,5.893
EST,se,happiness_rank,55
EST,se,ggi_index,0.734
EST,se,ggi_rank,33
SWZ,se,gini_index,54.6
SWZ,se,unemployment_pctg,23.3999996185303
SWZ,se,happiness_score,4.212
SWZ,se,happiness_rank,135
SWZ,se,ggi_index,0.665
